MAIT	Tmem	Hepatocyte	Cholangiocytes	Kupffer
KLRB1	APBA2	ALB	KRT19	C1QA
IL7R	HSPA6	HHEX	MMP7	CLEC4F
CCL20	DUSP4	HNF4A	SSTR2	CD163
CEBPD	PIK3R1	SERPINA1	KRT7	TIMD4
LTB	ITGA4	CYP2E1	AGR2	VSIG4
SLC4A10	COTL1	NR1I3	ELF3	CLEC1B
CCR6	CRTAM	SERPINA6	SOX9	GPIHBP1
AQP3	KLRC2	SLC10A1	CFTR	MNDA
RORA	SLA2	ASGR1	HNF1B	SLC15A3
ZBTB16	TUBA4A	AFP	AQP1	MARCO
NCR3	HLA-DQA2	APOA1	TFF1	EAR2
TLE1	KLF2	APOA2	LGALS4	HFE
NFKBIZ	ITGB1	TTR	CLDN4	CD38
IL4I1	ENC1	APOM	TFF2	ADGRE4
BACH2	CCL4L2	C4B	SCGB3A1	CCR5
TEX14	HSPA1A	GCK	FXYD2	CLEC4E
SNX9	FCRL6	NOS2	LCN2	FOLR2
TMIGD2	HLA-DQB1	ATP7B	CXCL1	PLTP
CD69	RGS1	GJB2	CXCL6	FTL
AC245014.3	HLA-DRA	FGFR4	LGALS2	IRF7
CA2	ADGRG1	PROX1	TACSTD2	SPIC
IL23R	HLA-DQA1	CRP	SPP1	CSF1R
IL18RAP	FCGR3A	GRP	MUC5B	C1QC
NFKBIA	CEMIP2	SLC2A2	MUC3	C1QB
ERN1	CD74	TFR2	SLC4A2	TNF
TTC39C	LGALS1	KIF13B	SCTR	G6PD
SPOCK2	ARID5B	LIPC	KCNN2	LYZ
NINJ1	NKG7	VDR	ITGB4	MPO
RUNX2	CCL5	ARG1	GGT6	PROK2
FEZ1	CD8B	G6PC	CCKBR	STARD5
EGR1	HLA-DRB5	OTC	AQP4	MSR1
RORA-AS1	HLA-DPA1	UGT1A1	PIGR	TLR9
PHACTR2	ZEB2	ZHX2	GGT1	PPARA
PRR5	HLA-DPB1	FOXA3	JAG1	TLR4
MYBL1	YBX3	FOXA2	GPBAR1	MMP13
SATB1	LINC02446	FOXA1	GGT7	CD14
DUSP16	CMC1	CYP7A1	ONECUT2	VDR
PFKFB3	XCL1	CYP3A7	ALPL	CHIT1
RBMS1	FGFBP2	CYP3A4	TFF3	OSM
IFNGR1	GZMB	CYP2D6	CD24	PPARD
CXCR6	GNLY	CYP2C9	DEFB1	ADGRE1
GRAMD2B	HLA-DRB1	CYP2C8	EPCAM	IL1B
DPP4	GZMH	CYP2C19	ALB	SLC40A1
				
